002271 东方雨虹 日线 后复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
04272009,34.30,35.46,32.85,33.50,990200,33604944.000
04292009,33.41,34.87,33.40,34.44,533200,18397592.000
04302009,34.45,34.80,33.90,34.51,408800,14072030.000
05042009,34.80,35.86,34.56,35.71,547800,19452268.000
05052009,36.00,36.80,35.33,36.50,675400,24343698.000
05062009,36.11,36.66,36.00,36.30,567500,20613746.000
05072009,36.50,36.51,34.90,35.44,711600,25322432.000
05082009,35.37,35.37,34.36,34.88,577700,20051408.000
05112009,34.95,35.80,34.20,34.70,412100,14483374.000
05122009,34.70,35.50,34.18,35.48,399600,13893675.000
05132009,35.55,35.70,35.12,35.30,476400,16830136.000
05142009,35.15,38.59,34.82,38.28,1928900,71718328.000
05152009,38.10,38.10,36.80,37.22,1139600,42539116.000
05182009,37.23,37.57,36.20,37.20,487000,17961640.000
05192009,37.15,37.64,36.20,36.83,703000,25871752.000
05202009,36.88,37.16,36.28,36.43,424900,15574063.000
05212009,36.43,36.80,35.55,35.68,524400,18923318.000
05222009,36.20,36.46,35.52,36.40,336824,12161583.000
05252009,36.00,37.50,35.60,37.38,749791,27371438.000
05262009,37.80,37.88,37.00,37.27,713768,26779958.000
05272009,37.31,37.75,36.50,36.77,526276,19510728.000
06012009,37.10,37.46,36.20,37.22,591493,21909612.000
06022009,37.57,37.69,37.05,37.18,825306,30847066.000
06032009,37.09,38.42,36.43,37.10,1443253,35819416.000
06042009,36.34,36.94,35.42,35.84,1164342,27664222.000
06052009,35.84,36.70,35.35,35.95,672053,16003873.000
06082009,36.11,36.17,34.70,34.84,881073,20480498.000
06092009,34.85,35.12,32.60,33.94,757063,16912300.000
06102009,34.25,34.78,33.65,34.40,643586,14597853.000
06112009,34.19,35.74,34.10,35.14,926524,21529352.000
06122009,35.14,35.48,33.38,33.71,618066,14071301.000
06152009,33.71,34.51,33.50,34.46,483881,10878697.000
06162009,34.25,34.25,33.80,34.03,334649,7502666.500
06172009,33.76,34.33,33.74,34.10,412740,9259961.000
06182009,34.22,34.40,33.80,33.94,600759,13478489.000
06192009,34.25,34.25,33.74,33.85,535423,11980368.000
06222009,34.03,34.07,33.41,33.49,615210,13675461.000
06232009,32.92,36.80,32.92,36.80,2727986,64738676.000
06242009,37.48,37.48,35.75,36.32,2283785,54696916.000
06252009,35.93,39.44,35.45,38.20,2924306,73380424.000
06262009,38.27,39.65,37.55,38.35,2058359,52667328.000
06292009,38.36,38.57,37.13,37.46,1508352,37577508.000
06302009,37.46,39.32,36.59,37.40,1368047,34337812.000
07012009,37.24,37.78,36.62,37.37,1114133,27194424.000
07022009,37.70,39.35,37.00,38.44,1933549,49252840.000
07032009,37.85,39.35,37.60,37.85,1160225,29112922.000
07062009,37.85,38.60,37.15,37.18,937562,23239930.000
07072009,37.16,38.45,36.68,37.84,1043949,25908584.000
07082009,37.42,38.20,37.18,37.69,780905,19361190.000
07092009,37.78,41.42,37.27,40.55,4044683,107025288.000
07102009,40.09,41.60,39.50,39.77,2209208,58506624.000
07132009,39.35,40.31,39.17,39.85,1360523,35768200.000
07142009,39.89,40.70,39.50,39.95,1207977,32035968.000
07152009,40.04,40.69,39.86,40.36,1347056,35834012.000
07162009,40.40,40.69,39.20,39.32,1454652,38095500.000
07172009,39.23,39.89,38.98,39.47,892677,23266216.000
07202009,39.80,41.84,39.55,40.55,1935447,52077748.000
07212009,40.57,41.02,38.92,39.13,1528214,40159160.000
07222009,39.17,39.58,38.90,39.20,960446,24870676.000
07232009,39.07,39.35,38.38,38.99,1127051,28874894.000
07242009,39.02,39.17,37.55,38.08,1094148,27735000.000
07272009,38.12,38.74,37.94,38.53,1032415,26139902.000
07282009,38.50,39.05,38.02,38.92,1020203,26065510.000
07292009,38.95,40.03,35.75,37.40,1499866,38614952.000
07302009,37.37,38.15,35.93,36.98,1001550,24260856.000
07312009,36.95,38.06,36.95,37.75,817970,20322382.000
08032009,37.78,38.42,37.78,38.23,849709,21392286.000
08042009,38.24,38.45,37.10,37.90,768482,19171758.000
08052009,37.90,38.92,37.58,38.50,1033951,26261002.000
08062009,38.48,38.48,37.13,37.63,780701,19394240.000
08072009,37.78,38.09,36.62,36.65,798580,19640698.000
08102009,36.65,37.85,36.38,37.01,584087,14333465.000
08112009,37.04,37.82,36.67,37.70,538341,13262592.000
08122009,37.69,37.69,35.84,35.95,546242,13234123.000
08132009,35.90,36.79,35.42,36.46,444918,10645646.000
08142009,36.53,36.67,34.55,34.55,616768,14496133.000
08172009,34.22,34.34,31.13,31.13,986402,20981068.000
08182009,31.12,31.85,30.50,31.67,637888,13179665.000
08192009,31.70,31.78,29.30,29.51,732105,14664138.000
08202009,29.75,30.79,29.30,30.62,500645,9885970.000
08212009,31.55,33.65,31.12,33.65,885269,19433976.000
08242009,35.75,36.98,35.75,36.98,751484,18209602.000
08252009,39.89,40.60,37.10,39.65,5223987,134190848.000
08262009,39.65,40.52,38.17,40.07,3437135,89668552.000
08272009,39.35,39.95,37.78,38.53,2406298,61561280.000
08282009,38.30,42.35,37.88,42.35,5466095,148723248.000
08312009,42.35,43.12,38.57,38.98,4105993,111597760.000
09012009,39.35,40.31,35.18,36.13,2974409,75339976.000
09022009,34.87,36.19,33.35,35.08,2081659,47920388.000
09032009,34.78,38.56,34.30,38.56,2262328,55930188.000
09042009,38.75,42.05,38.60,40.12,2813614,75301584.000
09072009,40.10,43.85,39.38,42.44,3200544,88924024.000
09082009,41.60,43.34,40.87,42.44,2183355,60658148.000
09092009,42.22,45.26,40.94,44.42,3277926,92931608.000
09102009,43.55,45.64,42.07,42.52,2657819,77332936.000
09112009,41.30,43.81,40.55,42.64,2250470,63516036.000
09142009,42.68,44.42,42.59,42.92,2192521,62716120.000
09152009,42.79,44.45,42.17,44.18,3083224,88388616.000
09162009,43.85,44.15,42.20,43.00,2009403,57313272.000
09172009,43.10,46.85,42.80,44.96,3389751,101117080.000
09182009,45.17,45.17,42.50,42.79,2035722,59050360.000
09212009,42.35,43.00,40.85,42.64,1167388,32278108.000
09222009,42.50,43.07,41.53,41.53,776218,21692762.000
09232009,41.53,41.87,39.35,39.59,1230889,32907954.000
09242009,39.55,40.93,39.35,40.70,987452,26274864.000
09252009,40.70,41.71,39.98,41.15,893864,24225196.000
09282009,40.90,41.60,39.82,39.95,741706,19828794.000
09292009,39.92,40.48,37.87,38.72,674734,17411132.000
09302009,39.32,39.82,39.13,39.20,608953,15881154.000
10092009,40.55,43.09,40.55,42.20,1102593,30668330.000
10122009,46.39,46.39,42.89,43.10,2130130,62208044.000
10132009,42.35,43.24,42.35,43.10,973081,27505164.000
10142009,42.82,44.30,42.82,43.27,1135938,32750824.000
10152009,44.44,47.42,43.88,45.88,3517837,106683256.000
10162009,45.05,46.03,44.15,45.20,1872297,55693436.000
10192009,45.04,46.52,43.54,46.18,2114053,62830120.000
10202009,46.19,49.82,45.40,48.43,3371319,106976592.000
10212009,48.28,49.85,47.45,48.70,2332346,74977440.000
10222009,48.32,49.79,47.57,49.03,1744595,56551500.000
10232009,48.80,53.90,48.80,53.47,5094506,178427200.000
10262009,52.69,53.63,51.37,52.33,3057732,105772400.000
10272009,52.09,53.29,50.87,52.25,2301923,79390280.000
10282009,52.10,55.10,51.74,53.51,2447659,86855576.000
10292009,52.78,54.50,51.05,52.43,2276935,79583704.000
10302009,52.90,53.90,51.55,52.39,2682133,93357768.000
11022009,51.35,55.10,50.75,54.25,2625743,93515672.000
11032009,54.65,55.79,53.60,54.20,1591484,57812492.000
11042009,55.10,55.52,53.32,55.06,1890644,67982624.000
11052009,55.10,55.30,54.05,54.20,1286037,46416676.000
11062009,54.65,55.01,54.05,54.86,1523226,55018900.000
11092009,55.69,60.17,55.69,57.38,3059606,116972144.000
11102009,57.35,58.13,55.88,57.32,1568381,59402972.000
11112009,57.35,57.65,56.96,57.50,1048342,39846200.000
11122009,57.47,58.81,57.35,57.70,894660,34383564.000
11132009,57.70,58.00,55.85,56.99,1832487,68936224.000
11172009,58.15,59.60,57.35,59.27,2167219,83990920.000
11182009,59.00,59.50,58.34,58.73,1052230,40872064.000
11192009,58.25,59.23,57.41,58.94,1129476,43691452.000
11202009,59.00,60.80,57.80,59.87,1160483,45743544.000
11232009,60.29,61.07,59.36,60.17,1120370,44686032.000
11242009,60.41,60.56,56.60,56.90,1499464,58321420.000
11252009,56.72,60.05,56.60,59.72,1730799,66439608.000
11262009,59.72,62.63,58.85,58.87,2209449,88565040.000
11272009,58.15,61.25,57.38,58.09,1811791,71350184.000
11302009,58.85,61.25,58.85,61.25,1621917,64826156.000
12012009,61.03,64.48,60.55,63.80,1775812,74211520.000
12022009,63.80,70.12,63.43,68.69,2361306,104717792.000
12032009,67.87,72.11,67.40,69.20,1934314,89205392.000
12042009,69.34,70.82,63.35,66.35,1840613,82621288.000
12072009,66.35,72.95,66.35,72.95,2682021,127035264.000
12082009,72.97,75.80,71.75,73.13,2691825,131595632.000
12092009,71.84,76.28,70.54,74.90,1677666,81153344.000
12102009,74.12,76.81,72.35,73.06,1550615,76614432.000
12112009,72.64,73.69,71.39,71.83,939096,44998164.000
12142009,71.68,72.28,69.07,70.48,1205046,56102288.000
